chunk_size,chunk_overlap,event_id,user_id,k,mmr_lambda,faithfulness,relevancy
256,64,1,7,20,0.5,0.12083333333333335,0.5250721990703057
256,64,1,8,20,0.5,0.0,0.7369874748980758
256,64,1,9,20,0.5,0.07936507936507936,0.6989487349981318
256,64,1,10,20,0.5,0.04365079365079364,0.5421792199689541
256,64,1,11,20,0.5,0.04583333333333332,0.5528833198784262
256,96,1,1,10,0.5,0.11666666666666665,0.6415848257174526
256,96,1,2,10,0.5,0.15833333333333333,0.561737727923636
256,96,1,3,10,0.5,0.4583333333333333,0.5925874654091888
256,96,1,4,10,0.5,0.16666666666666666,0.5060380528058159
256,96,1,5,10,0.5,0.11166666666666666,0.21161961539285917
256,96,1,7,10,0.5,0.09,0.3690607439459836
256,96,1,8,10,0.5,0.06666666666666667,0.6454638949829437
256,96,1,9,10,0.5,0.0,0.6533599615899929
256,96,1,10,10,0.5,0.05,0.559833505942225
256,96,1,11,10,0.5,0.03333333333333333,0.6569856994191663
256,96,1,1,15,0.5,0.6770833333333333,0.1370052412274723
256,96,1,2,15,0.5,0.11666666666666667,0.5276781195924239
256,96,1,3,15,0.5,0.4,0.044547215948065676
256,96,1,4,15,0.5,0.3722222222222222,0.18860387118168023
256,96,1,5,15,0.5,0.15555555555555556,0.5375289944812124
256,96,1,7,15,0.5,0.16666666666666666,0.652311086810634
256,96,1,8,15,0.5,0.04444444444444444,0.5244442859833789
256,96,1,9,15,0.5,0.03888888888888888,0.6845280846184392
256,96,1,10,15,0.5,0.03888888888888888,0.42801242948954926
256,96,1,11,15,0.5,0.016666666666666666,0.6276444298747978
256,96,1,1,20,0.5,0.05416666666666666,0.47172368475122406
256,96,1,2,20,0.5,0.10317460317460317,0.3820318434514474
256,96,1,3,20,0.5,0.2619047619047619,0.4396269668644794
256,96,1,4,20,0.5,0.47619047619047616,0.0705677805281866
256,96,1,5,20,0.5,0.0,0.38388682537110297
256,96,1,7,20,0.5,0.17,0.6776703410073532
256,96,1,8,20,0.5,0.23015873015873015,0.2451758756735493
256,96,1,9,20,0.5,0.1,0.5069789283057331
256,96,1,10,20,0.5,0.07499999999999998,0.6070124450792493
256,96,1,11,20,0.5,0.05,0.4066431502574819
512,32,1,1,10,0.5,0.03333333333333333,0.4375322658487786
512,32,1,2,10,0.5,0.08333333333333333,0.6437169985906767
512,32,1,3,10,0.5,0.35,0.3564267916898067
